Time(s) Delta Theta Alpha Beta
3.000000000000000000e+00 2.201064448885933170e-03 1.021282155751214536e-03 3.968005366269529389e-04 1.500011480229748750e-04
3.500000000000000000e+00 2.694113363973419262e-03 1.054346601281801535e-03 3.626761855983266737e-04 1.588413783327963583e-04
4.000000000000000000e+00 2.735271327780408341e-03 1.041112970463619909e-03 3.937044323882404840e-04 1.658757375993185170e-04
4.500000000000000000e+00 2.672203713881925093e-03 1.084857816065241259e-03 3.980094596038475513e-04 1.655096816541763184e-04
5.000000000000000000e+00 2.390073397083893048e-03 1.071150910445783097e-03 3.317148464077685150e-04 1.738109529522362370e-04
5.500000000000000000e+00 2.583073498146337514e-03 1.064956624758403581e-03 3.169332464477331345e-04 1.687224649703089477e-04
6.000000000000000000e+00 3.119791394497908096e-03 1.239166037265898145e-03 3.607584848726927548e-04 1.829788612111892855e-04
6.500000000000000000e+00 4.008110287169052918e-03 1.438942968793954693e-03 3.018754837132397702e-04 1.870722044721666701e-04
7.000000000000000000e+00 3.374426106940171810e-03 1.408926431106524626e-03 3.834421064349447937e-04 1.999970658549629111e-04
7.500000000000000000e+00 3.836801095031516003e-03 1.215191750338981067e-03 4.465802854705036508e-04 1.704365005222251400e-04
8.000000000000000000e+00 3.033057880785837955e-03 1.242260691955787829e-03 4.486551318752776858e-04 1.962921382140396704e-04
8.500000000000000000e+00 4.088166130630379626e-03 1.396951762817490172e-03 4.153194804988551538e-04 1.726212936865474115e-04
9.000000000000000000e+00 4.320500454888885795e-03 1.597025223879796393e-03 4.599611165620794834e-04 1.958497699358331624e-04
9.500000000000000000e+00 4.466646196747323626e-03 1.454466016712310534e-03 4.247148584011570943e-04 2.130095888929113839e-04
1.000000000000000000e+01 3.741987620605123719e-03 1.461196803650719215e-03 3.717677929808621334e-04 2.187829621230576497e-04
1.050000000000000000e+01 2.969217989119220247e-03 1.087563231202235033e-03 4.628591536335603359e-04 2.114472248693000979e-04
1.100000000000000000e+01 2.987387087600185120e-03 1.182838459903745370e-03 4.487192951932912903e-04 2.096705379442729113e-04
