Time(s) Delta Theta Alpha Beta
3.000000000000000000e+00 1.340692197967844126e-02 5.419666250496793514e-03 1.321800934882337488e-03 5.669614786835675511e-04
3.500000000000000000e+00 1.209627870053247775e-02 5.174595064659935975e-03 1.239232021866680609e-03 5.269574210863532757e-04
4.000000000000000000e+00 1.218528754757297779e-02 5.199633122730188371e-03 1.264265334889736261e-03 5.163818753174230372e-04
4.500000000000000000e+00 1.302781319481224540e-02 5.324518320072475774e-03 1.288133401199330168e-03 4.993306504862305047e-04
5.000000000000000000e+00 1.397016195466891861e-02 5.602280528662868971e-03 1.292473572705770540e-03 4.818343722029073788e-04
5.500000000000000000e+00 1.477143939334261448e-02 5.784122772884405829e-03 1.325809562778381898e-03 4.815320666337299569e-04
6.000000000000000000e+00 1.561907955307357924e-02 5.803072978224813917e-03 1.378617044948654774e-03 4.748652998060150167e-04
6.500000000000000000e+00 1.606592187947939593e-02 5.775605652769408467e-03 1.406931724702065005e-03 4.664615935122151148e-04
7.000000000000000000e+00 1.664061910089818797e-02 5.710280116232384698e-03 1.438166830021586672e-03 4.542080843765442704e-04
7.500000000000000000e+00 1.688958094067870980e-02 5.633322334181664615e-03 1.451780737009501126e-03 4.438804278114786379e-04
8.000000000000000000e+00 1.715562403109873596e-02 5.536298783479550595e-03 1.470959766310003065e-03 4.361428104635606696e-04
8.500000000000000000e+00 1.679731602672656157e-02 5.411918483173096088e-03 1.463955751199318969e-03 4.317686814436794422e-04
9.000000000000000000e+00 1.640745855485091498e-02 5.232521795971506982e-03 1.447880428562140550e-03 4.298953227273833539e-04
9.500000000000000000e+00 1.567310329818129983e-02 4.980664030279580157e-03 1.414382360242197019e-03 4.216759883357030906e-04
1.000000000000000000e+01 1.489961072441606249e-02 4.744306467171010427e-03 1.386814434885782869e-03 4.157710502871516138e-04
1.050000000000000000e+01 1.439826204767089522e-02 4.593600273394935797e-03 1.357695601764035863e-03 4.112748844293665960e-04
1.100000000000000000e+01 1.410750350980537367e-02 4.509407094069538616e-03 1.361216282145843526e-03 4.126781841513567969e-04
1.150000000000000000e+01 1.381669025433873710e-02 4.413585146729260937e-03 1.350313329318945281e-03 4.118336711938476924e-04
1.200000000000000000e+01 1.365971609422257996e-02 4.350405464735573706e-03 1.347995715491901456e-03 4.142195580996138994e-04
1.250000000000000000e+01 1.365462062662554932e-02 4.272032226053429707e-03 1.341317719883580121e-03 4.144469567554542226e-04
1.300000000000000000e+01 1.366557361895578103e-02 4.221377397349766053e-03 1.346236515880838485e-03 4.155566448228705857e-04
1.350000000000000000e+01 1.373153373018093544e-02 4.157294997736860759e-03 1.341135739613352361e-03 4.185098819123817329e-04
1.400000000000000000e+01 1.376676891132031823e-02 4.159870987195820290e-03 1.342361019116434595e-03 4.228187906859622231e-04
1.450000000000000000e+01 1.376403257776713518e-02 4.150324938547485763e-03 1.338045893270324626e-03 4.271129977848952338e-04
1.500000000000000000e+01 1.359220643264665192e-02 4.115660786170998245e-03 1.319406927302330590e-03 4.284943923447957792e-04
1.550000000000000000e+01 1.350702407352337778e-02 4.129897623219063590e-03 1.300386965733865002e-03 4.310506432797092191e-04
1.600000000000000000e+01 1.332134511812747835e-02 4.124431045703856082e-03 1.288875543863289347e-03 4.336467014814445343e-04
1.650000000000000000e+01 1.307849772108055607e-02 4.190095596241835002e-03 1.287953596606638759e-03 4.371068881983764323e-04
1.700000000000000000e+01 1.281353834458743429e-02 4.217525493499922097e-03 1.286609517500997540e-03 4.405209983279592722e-04
1.750000000000000000e+01 1.257116196399496975e-02 4.304273062206155978e-03 1.292528563458756252e-03 4.442745921753333822e-04
1.800000000000000000e+01 1.231234537973106488e-02 4.376515392148250597e-03 1.290367904503985979e-03 4.456555480866125954e-04
1.850000000000000000e+01 1.205170899773253847e-02 4.429171062421886212e-03 1.289477228630008833e-03 4.456809911271442798e-04
1.900000000000000000e+01 1.179156882224447964e-02 4.470414446061343923e-03 1.285964447325719986e-03 4.443821168961603965e-04
1.950000000000000000e+01 1.151913141083093367e-02 4.493616755199638692e-03 1.283974507806855169e-03 4.428663939668094638e-04
2.000000000000000000e+01 1.125946924175409009e-02 4.517337825776810388e-03 1.279359534899833072e-03 4.404515542074704582e-04
2.050000000000000000e+01 1.101069993158482023e-02 4.499056137157823702e-03 1.268346543405103307e-03 4.370672341066575840e-04
2.100000000000000000e+01 1.077098988312259753e-02 4.485253870190880100e-03 1.255857205195068165e-03 4.324085995289383326e-04
2.150000000000000000e+01 1.053503793473734539e-02 4.442426174533101700e-03 1.237839874435470991e-03 4.255020284973292451e-04
2.200000000000000000e+01 1.032617229960311987e-02 4.371613981345187291e-03 1.222727498031718789e-03 4.188516446375872664e-04
2.250000000000000000e+01 1.015499151464351740e-02 4.302142599898378487e-03 1.212266995983356157e-03 4.129176025589881152e-04
2.300000000000000000e+01 9.998480986468412726e-03 4.255732418490006455e-03 1.205783102613917348e-03 4.078895024563047368e-04
2.350000000000000000e+01 9.861785644938456455e-03 4.218511122547539266e-03 1.197526099782015739e-03 4.033539747476830805e-04
2.400000000000000000e+01 9.756462283830176843e-03 4.187930492865549019e-03 1.191791808308096876e-03 3.992769117093432785e-04
2.450000000000000000e+01 9.644690638621567988e-03 4.151765153377486896e-03 1.184086390462990492e-03 3.954078793651936898e-04
2.500000000000000000e+01 9.549925739167939437e-03 4.123469580224402645e-03 1.175221810275559270e-03 3.915170723201667541e-04
2.550000000000000000e+01 9.457042800896976048e-03 4.089820003774074023e-03 1.167107695847620970e-03 3.878850832487539500e-04
2.600000000000000000e+01 9.376749083310445543e-03 4.060949981255543295e-03 1.158564962059452667e-03 3.840309111963059567e-04
2.650000000000000000e+01 9.262707599819121687e-03 4.031290372168553661e-03 1.144665848892166419e-03 3.798534248761641281e-04
2.700000000000000000e+01 9.181683159785571438e-03 3.992438108733169233e-03 1.128721109476554406e-03 3.752793336415418128e-04
2.750000000000000000e+01 9.106610506067135472e-03 3.940986519218372779e-03 1.114931722886733974e-03 3.706541649932528848e-04
2.800000000000000000e+01 9.017159514617061056e-03 3.882945838671381100e-03 1.100619177302930964e-03 3.660700619414364331e-04
2.850000000000000000e+01 8.929950072522971002e-03 3.829497738930752807e-03 1.087183248365531946e-03 3.617561332262058619e-04
2.900000000000000000e+01 8.845654666372900973e-03 3.775447236358420167e-03 1.074684280421704316e-03 3.576438007072012715e-04
2.950000000000000000e+01 8.756863937282937174e-03 3.730666139049079212e-03 1.061328424590992628e-03 3.536416446201506316e-04
3.000000000000000000e+01 8.669134224818627471e-03 3.682799810273006298e-03 1.049741187580792131e-03 3.499046817221227661e-04
3.050000000000000000e+01 8.597072902175382017e-03 3.634355195537609245e-03 1.038069983813494183e-03 3.464283159115251541e-04
3.100000000000000000e+01 8.512361630060133813e-03 3.583068326822450196e-03 1.028566005575121383e-03 3.433422936412928203e-04
3.150000000000000000e+01 8.419962883539539727e-03 3.533911774513206865e-03 1.017128157913865533e-03 3.401951778948157450e-04
3.200000000000000000e+01 8.322143992040457322e-03 3.484588977806573392e-03 1.007160099920063542e-03 3.371527035730089491e-04
3.250000000000000000e+01 8.233364053708239205e-03 3.437332128341936011e-03 9.961295166809680871e-04 3.339656653672948218e-04
3.300000000000000000e+01 8.137092317570086830e-03 3.390460079523946978e-03 9.860356356122086056e-04 3.309382703365513980e-04
3.350000000000000000e+01 8.050464951341840605e-03 3.343429153351029550e-03 9.768315540980845261e-04 3.281791281555435807e-04
3.400000000000000000e+01 7.966899450008550765e-03 3.297291672354420340e-03 9.688591759313110521e-04 3.256370249876516364e-04
3.450000000000000000e+01 7.898037221066188038e-03 3.253698294467134450e-03 9.606386651306678690e-04 3.227781641447877875e-04
3.500000000000000000e+01 7.818133586796449652e-03 3.211897359604927015e-03 9.525660214883482782e-04 3.199583665328870649e-04
3.550000000000000000e+01 7.744990336091631296e-03 3.175140444875764606e-03 9.442602831968757151e-04 3.173102607266739300e-04
3.600000000000000000e+01 7.668244216551760306e-03 3.138715902454747037e-03 9.363814564750785668e-04 3.150182931533189196e-04
3.650000000000000000e+01 7.600943207089576152e-03 3.106313081253956124e-03 9.293652759204312818e-04 3.128978028721115905e-04
3.700000000000000000e+01 7.536375820673039613e-03 3.077385432273749537e-03 9.227477432559092049e-04 3.111056112007342810e-04
3.750000000000000000e+01 7.481484372614699563e-03 3.047621782748686104e-03 9.160629643183902616e-04 3.090684117182301090e-04
3.800000000000000000e+01 7.413688580173565315e-03 3.019570140203963523e-03 9.093812467999114668e-04 3.071512311907714701e-04
3.850000000000000000e+01 7.338594659931839577e-03 2.992207165336467807e-03 9.029985601578288841e-04 3.053768866545761469e-04
3.900000000000000000e+01 7.265562654586664101e-03 2.965898071286378508e-03 8.968387609358996395e-04 3.039114937521194019e-04
3.950000000000000000e+01 7.201552360623644615e-03 2.939747880025170724e-03 8.904772810492667372e-04 3.025238831000620068e-04
